p:(0.566342,0.594243),h:1,n:99,cr:0.0482531;
p:(0.571132,0.567145),h:1,n:99,cr:0.0486326;
p:(0.571344,0.901646),h:1,n:99,cr:0.067612;
p:(0.574005,0.678203),h:1,n:99,cr:0.0383352;
p:(0.580798,0.980357),h:1,n:99,cr:0.0537823;
p:(0.583602,0.90751),h:1,n:99,cr:0.0648358;
p:(0.586143,0.728023),h:1,n:99,cr:0.0436409;
p:(0.591109,0.76379),h:1,n:99,cr:0.0504236;
p:(0.596849,0.646697),h:1,n:99,cr:0.032705;
p:(0.613644,0.711613),h:1,n:99,cr:0.0430459;
p:(0.62157,0.79209),h:1,n:99,cr:0.0560736;
p:(0.625601,0.624899),h:1,n:99,cr:0.051671;
p:(0.631578,0.887287),h:1,n:99,cr:0.0694258;
p:(0.634778,0.956196),h:1,n:99,cr:0.0479797;
p:(0.641601,0.732255),h:1,n:99,cr:0.0571904;
p:(0.643491,0.844001),h:1,n:99,cr:0.0537008;
p:(0.644185,0.797528),h:1,n:99,cr:0.0330698;
p:(0.649294,0.675247),h:1,n:99,cr:0.0500441;
p:(0.652486,0.90464),h:1,n:99,cr:0.0516007;
p:(0.658383,0.722454),h:1,n:99,cr:0.0494847;
p:(0.667431,0.818031),h:1,n:99,cr:0.0432043;
p:(0.677726,0.72845),h:1,n:99,cr:0.0485782;
