Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;14;13;5;7000;13083000
CP;15;13;8;11000;13083000
CP;16;13;3;4000;13083000
CP;17;13;11;16000;13083000
CP;18;13;4;5000;13083000
CP;19;13;7;10000;13083000
CP;20;13;7;10000;13083000
CP;21;13;9;43000;13083000
CP;22;13;7;8000;13083000
CP;23;13;10;13000;13083000
CP;24;13;5;6000;13083000
CP;25;13;6;8000;13083000
CP;26;13;4;6000;13083000
CP;27;13;13;18000;13083000
CP;28;13;11;15000;13083000
CP;29;13;5;7000;13083000
CP;30;13;7;10000;13083000
CP;31;13;5;6000;13083000
CP;32;13;14;19000;13083000
CP;33;13;10;14000;13083000
CP;34;13;8;10000;13083000
CP;35;13;8;11000;13083000
CP;36;13;4;5000;13083000
CP;37;13;8;14000;13083000
CP;38;13;4;5000;13083000
CP;39;13;6;8000;13083000
CP;40;13;6;8000;13083000
CP;41;13;9;11000;13083000
CP;42;13;11;21000;13083000
CP;43;13;15;20000;13083000
CP;44;13;11;14000;13083000
CP;45;13;4;5000;13083000
CP;46;13;11;14000;13083000
CP;47;13;5;8000;13083000
CP;48;13;8;11000;13083000
CP;49;13;8;9000;13083000
CP;50;13;6;10000;13083000
CP;51;13;8;10000;13083000
CP;52;13;7;8000;13083000
CP;53;13;9;12000;13083000
CP;54;13;7;10000;13083000
CP;55;13;7;9000;13083000
CP;56;13;15;21000;13083000
CP;57;13;9;12000;13083000
CP;58;13;8;10000;13083000
CP;59;13;7;8000;13083000
CP;60;13;10;12000;13083000
CP;61;13;7;8000;13083000
CP;62;13;4;5000;13083000
CP;63;13;10;17000;13083000
CP;64;13;8;10000;13083000
CP;65;13;10;11000;13083000
CP;66;13;10;15000;13083000
CP;67;13;9;13000;13083000
CP;68;13;10;13000;13083000
CP;69;13;5;6000;13083000
CP;70;13;7;9000;13083000
CP;71;13;7;9000;13083000
CP;72;13;4;5000;13083000
CP;73;13;6;8000;13083000
CP;74;13;7;12000;13083000
CP;75;13;11;15000;13083000
CP;76;13;11;15000;13083000
CP;77;13;9;11000;13083000
CP;78;13;9;11000;13083000
CP;79;13;7;9000;13083000
CP;80;13;4;5000;13083000
CP;81;13;4;5000;13083000
CP;82;13;6;9000;13083000
CP;83;13;11;15000;13083000
CP;84;13;8;10000;13083000
CP;85;13;9;11000;13083000
CP;86;13;12;16000;13083000
CP;87;13;5;7000;13083000
CP;88;13;9;10000;13083000
CP;89;13;8;12000;13083000
CP;90;13;6;8000;13083000
CP;91;13;9;11000;13083000
CP;92;13;7;11000;13083000
CP;93;13;5;8000;13083000
CP;94;13;4;4000;13083000
CP;95;13;5;7000;13083000
CP;96;13;7;9000;13083000
CP;97;13;7;9000;13083000
CP;98;13;6;9000;13083000
CP;99;13;5;7000;13083000
SS;0;13;4;10000;28810196000
SS;1;13;5;19000;28810196000
SS;2;13;4;7000;28810196000
SS;3;13;4;9000;28810196000
SS;4;13;3;6000;28810196000
SS;5;13;4;10000;28810196000
SS;6;13;2;4000;28810196000
SS;7;13;3;6000;28810196000
SS;8;13;3;8000;28810196000
SS;9;13;4;7000;28810196000
SS;10;13;4;7000;28810196000
SS;11;13;2;4000;28810196000
SS;12;13;5;9000;28810196000
SS;13;13;3;6000;28810196000
SS;14;13;4;12000;28810196000
SS;15;13;4;8000;28810196000
SS;16;13;3;6000;28810196000
SS;17;13;4;8000;28810196000
SS;18;13;3;6000;28810196000
SS;19;13;4;13000;28810196000
SS;20;13;5;14000;28810196000
SS;21;13;4;6000;28810196000
SS;22;13;4;11000;28810196000
SS;23;13;3;10000;28810196000
SS;24;13;2;9000;28810196000
SS;25;13;3;6000;28810196000
SS;26;13;4;7000;28810196000
SS;27;13;5;10000;28810196000
SS;28;13;5;9000;28810196000
SS;29;13;3;8000;28810196000
SS;30;13;5;13000;28810196000
SS;31;13;3;6000;28810196000
SS;32;13;4;7000;28810196000
SS;33;13;2;4000;28810196000
SS;34;13;2;4000;28810196000
SS;35;13;4;7000;28810196000
SS;36;13;3;6000;28810196000
SS;37;13;3;5000;28810196000
SS;38;13;4;12000;28810196000
SS;39;13;5;13000;28810196000
SS;40;13;3;6000;28810196000
SS;41;13;3;5000;28810196000
SS;42;13;5;8000;28810196000
SS;43;13;4;7000;28810196000
SS;44;13;4;8000;28810196000
SS;45;13;3;7000;28810196000
SS;46;13;4;8000;28810196000
SS;47;13;3;10000;28810196000
SS;48;13;3;6000;28810196000
SS;49;13;4;16000;28810196000
SS;50;13;4;11000;28810196000
SS;51;13;5;10000;28810196000
SS;52;13;2;6000;28810196000
SS;53;13;4;7000;28810196000
SS;54;13;3;6000;28810196000
SS;55;13;5;9000;28810196000
SS;56;13;4;7000;28810196000
SS;57;13;4;7000;28810196000
SS;58;13;3;5000;28810196000
SS;59;13;4;7000;28810196000
SS;60;13;5;8000;28810196000
SS;61;13;4;7000;28810196000
SS;62;13;3;6000;28810196000
SS;63;13;4;7000;28810196000
SS;64;13;4;6000;28810196000
SS;65;13;4;7000;28810196000
SS;66;13;4;7000;28810196000
SS;67;13;3;6000;28810196000
SS;68;13;4;8000;28810196000
SS;69;13;4;7000;28810196000
SS;70;13;4;12000;28810196000
SS;71;13;4;8000;28810196000
SS;72;13;2;4000;28810196000
SS;73;13;3;6000;28810196000
SS;74;13;2;5000;28810196000
SS;75;13;4;7000;28810196000
SS;76;13;6;13000;28810196000
SS;77;13;4;8000;28810196000
SS;78;13;3;5000;28810196000
SS;79;13;4;11000;28810196000
SS;80;13;2;5000;28810196000
SS;81;13;5;14000;28810196000
SS;82;13;4;12000;28810196000
SS;83;13;4;7000;28810196000
SS;84;13;4;7000;28810196000
SS;85;13;5;13000;28810196000
SS;86;13;4;12000;28810196000
SS;87;13;4;7000;28810196000
SS;88;13;3;7000;28810196000
SS;89;13;3;6000;28810196000
SS;90;13;4;8000;28810196000
SS;91;13;5;9000;28810196000
SS;92;13;4;11000;28810196000
SS;93;13;3;6000;28810196000
SS;94;13;2;4000;28810196000
SS;95;13;4;7000;28810196000
SS;96;13;4;7000;28810196000
SS;97;13;4;11000;28810196000
SS;98;13;4;7000;28810196000
SS;99;13;4;10000;28810196000
CP;0;14;8;50000;30954000
CP;1;14;10;47000;30954000
CP;2;14;9;70000;30954000
CP;3;14;10;22000;30954000
CP;4;14;10;30000;30954000
CP;5;14;7;16000;30954000
CP;6;14;5;8000;30954000
CP;7;14;7;12000;30954000
CP;8;14;6;9000;30954000
CP;9;14;5;9000;30954000
CP;10;14;8;12000;30954000
CP;11;14;6;31000;30954000
CP;12;14;8;13000;30954000
CP;13;14;6;10000;30954000
CP;14;14;10;18000;30954000
CP;15;14;14;46000;30954000
CP;16;14;6;44000;30954000
CP;17;14;10;19000;30954000
CP;18;14;5;16000;30954000
CP;19;14;12;31000;30954000
CP;20;14;8;17000;30954000
CP;21;14;11;56000;30954000
CP;22;14;10;19000;30954000
CP;23;14;10;19000;30954000
CP;24;14;6;13000;30954000
CP;25;14;10;21000;30954000
CP;26;14;8;100000;30954000
CP;27;14;10;16000;30954000
CP;28;14;11;19000;30954000
CP;29;14;8;18000;30954000
CP;30;14;11;25000;30954000
CP;31;14;8;14000;30954000
CP;32;14;13;18000;30954000
CP;33;14;7;11000;30954000
CP;34;14;4;6000;30954000
CP;35;14;9;14000;30954000
CP;36;14;5;8000;30954000
CP;37;14;9;34000;30954000
CP;38;14;8;14000;30954000
CP;39;14;10;16000;30954000
CP;40;14;10;36000;30954000
CP;41;14;13;20000;30954000
CP;42;14;11;17000;30954000
