Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;51;25;739;3042000;159328436000
CP;52;25;733;2823000;159328436000
CP;53;25;740;2629000;159328436000
CP;54;25;734;1853000;159328436000
CP;55;25;713;1741000;159328436000
CP;56;25;741;1820000;159328436000
CP;57;25;728;1756000;159328436000
CP;58;25;744;1750000;159328436000
CP;59;25;724;1896000;159328436000
CP;60;25;735;1771000;159328436000
CP;61;25;734;1754000;159328436000
CP;62;25;390;837000;159328436000
CP;63;25;743;1699000;159328436000
CP;64;25;744;1730000;159328436000
CP;65;25;745;1733000;159328436000
CP;66;25;742;1772000;159328436000
CP;67;25;745;1879000;159328436000
CP;68;25;735;3031000;159328436000
CP;69;25;736;2968000;159328436000
CP;70;25;735;2232000;159328436000
CP;71;25;748;1827000;159328436000
CP;72;25;415;929000;159328436000
CP;73;25;737;1716000;159328436000
CP;74;25;750;1910000;159328436000
CP;75;25;735;1836000;159328436000
CP;76;25;741;1786000;159328436000
CP;77;25;737;1743000;159328436000
CP;78;25;734;1960000;159328436000
CP;79;25;726;1776000;159328436000
CP;80;25;690;1684000;159328436000
CP;81;25;741;2000000;159328436000
CP;82;25;738;1822000;159328436000
CP;83;25;722;1700000;159328436000
CP;84;25;699;1877000;159328436000
CP;85;25;725;1669000;159328436000
CP;86;25;733;1696000;159328436000
CP;87;25;730;1690000;159328436000
CP;88;25;725;1722000;159328436000
CP;89;25;737;1907000;159328436000
CP;90;25;709;1768000;159328436000
CP;91;25;729;1747000;159328436000
CP;92;25;721;1888000;159328436000
CP;93;25;698;1695000;159328436000
CP;94;25;445;930000;159328436000
CP;95;25;741;1680000;159328436000
CP;96;25;741;1717000;159328436000
CP;97;25;747;2038000;159328436000
CP;98;25;753;1820000;159328436000
CP;99;25;739;1825000;159328436000
